timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
556,30.34,20,30.34
557,53.19,20,53.19
558,63.28,20,63.28
559,50.15,20,50.15
560,31.58,20,31.58
561,63.3,20,63.3
562,64.94,20,64.94
563,32.08,20,32.08
564,63.71,20,63.71
565,43.42,20,43.42
566,61.6,20,61.6
567,53.03,20,53.03
568,58.97,20,58.97
569,54.64,20,54.64
570,29.99,20,29.99
571,30.53,20,30.53
572,33.8,20,33.8
573,64.41,20,64.41
574,59.33,20,59.33
575,32.17,20,32.17
576,46.01,20,46.01
577,42.04,20,42.04
578,35.02,20,35.02
579,31.58,20,31.58
580,32.69,20,32.69
581,43.63,20,43.63
582,31.1,20,31.1
583,32.05,20,32.05
584,32.57,20,32.57
585,30.32,20,30.32
586,39.65,20,39.65
587,30.05,20,30.05
588,44.11,20,44.11
589,32.04,20,32.04
590,29.04,20,29.04
591,32.69,20,32.69
592,32.4,20,32.4
593,29.89,20,29.89
594,43.14,20,43.14
595,29.83,20,29.83
596,33.57,20,33.57
597,36.42,20,36.42
598,44.95,20,44.95
599,48.04,20,48.04
600,30.9,20,30.9
601,31.96,20,31.96
602,22.11,20,22.11
603,38.48,20,38.48
604,13.14,20,13.14
605,32.01,20,32.01
606,25.01,20,25.01
607,14.39,20,14.39
608,44.57,20,44.57
609,14.85,20,14.85
610,17,20,17
611,28.24,20,28.24
612,33.88,20,33.88
613,33.22,20,33.22
614,48.33,20,48.33
615,31.85,20,31.85
616,32.09,20,32.09
617,20.29,20,20.29
618,19.14,20,19.14
619,28,20,28
620,33.69,20,33.69
621,42.93,20,42.93
622,14.32,20,14.32
623,31.25,20,31.25
624,15.98,20,15.98
625,48.99,20,48.99
626,13.09,20,13.09
627,48.98,20,48.98
628,58.83,20,58.83
629,79.92,20,79.92
630,32.08,20,32.08
631,35.08,20,35.08
632,30.14,20,30.14
633,12.63,20,12.63
634,47.25,20,47.25
635,55.53,20,55.53
636,48.04,20,48.04
637,12.03,20,12.03
638,45.1,20,45.1
639,51.92,20,51.92
640,50.71,20,50.71
641,12.81,20,12.81
642,47.43,20,47.43
643,30.94,20,30.94
644,9.8,20,9.8
645,51.92,20,51.92
646,51.47,20,51.47
647,9.98,20,9.98
648,49.96,20,49.96
649,29.57,20,29.57
650,30.28,20,30.28
651,31.06,20,31.06
652,40.54,20,40.54
653,54.52,20,54.52
654,31.21,20,31.21
655,39.31,20,39.31
656,57.15,20,57.15
657,32.06,20,32.06
658,48.9,20,48.9
659,51.25,20,51.25
660,32.03,20,32.03
661,30.16,20,30.16
662,49.77,20,49.77
663,55.05,20,55.05
664,50.93,20,50.93
665,48,20,48
666,50,20,50
667,57.75,20,57.75
668,34.87,20,34.87
669,56.58,20,56.58
670,46.5,20,46.5
671,37.9,20,37.9
672,41.47,20,41.47
673,51.99,20,51.99
674,52.94,20,52.94
675,52.95,20,52.95
676,33.96,20,33.96
677,30.54,20,30.54
678,29.55,20,29.55
679,31.47,20,31.47
680,49.01,20,49.01
681,31.08,20,31.08
682,48.96,20,48.96
683,45.03,20,45.03
684,33.96,20,33.96
685,32.54,20,32.54
686,40.55,20,40.55
687,33.17,20,33.17
688,47.02,20,47.02
689,31.14,20,31.14
690,28.98,20,28.98
691,52.96,20,52.96
692,29.63,20,29.63
693,52.96,20,52.96
694,34.79,20,34.79
695,42.31,20,42.31
696,34.44,20,34.44
697,30.49,20,30.49
698,55.12,20,55.12
699,53.58,20,53.58
700,50.29,20,50.29
701,50.49,20,50.49
702,51.56,20,51.56
703,60.75,20,60.75
704,53.07,20,53.07
705,53.71,20,53.71
706,31.11,20,31.11
707,48.99,20,48.99
708,51.4,20,51.4
709,33.89,20,33.89
710,51.5,20,51.5
711,30.32,20,30.32
712,47.75,20,47.75
713,49.64,20,49.64
714,29.2,20,29.2
715,37.06,20,37.06
716,31.03,20,31.03
717,29.11,20,29.11
718,32.73,20,32.73
719,53.02,20,53.02
720,34.11,20,34.11
721,31.38,20,31.38
722,60.93,20,60.93
723,61.66,20,61.66
724,45,20,45
725,31.12,20,31.12
726,31.88,20,31.88
727,49.08,20,49.08
728,33.09,20,33.09
729,52.92,20,52.92
730,61.76,20,61.76
731,62.95,20,62.95
732,44.23,20,44.23
733,31.64,20,31.64
734,66.53,20,66.53
735,31.11,20,31.11
736,35.36,20,35.36
737,31.72,20,31.72
